Date,Month,MeanTemp
5/11/1943,5,28.88888889
5/12/1943,5,25.55555556
5/13/1943,5,24.44444444
5/14/1943,5,23.88888889
5/15/1943,5,27.77777778
5/16/1943,5,26.66666667
5/17/1943,5,24.44444444
5/18/1943,5,24.44444444
5/19/1943,5,24.44444444
5/20/1943,5,24.44444444
5/21/1943,5,24.44444444
5/22/1943,5,24.44444444
5/23/1943,5,25.55555556
5/24/1943,5,27.22222222
5/25/1943,5,26.66666667
5/26/1943,5,25.55555556
5/27/1943,5,23.33333333
5/28/1943,5,25.55555556
5/29/1943,5,27.77777778
5/30/1943,5,30
5/31/1943,5,28.33333333
6/1/1943,6,28.33333333
6/2/1943,6,27.77777778
6/3/1943,6,27.22222222
6/4/1943,6,28.88888889
6/5/1943,6,26.66666667
6/6/1943,6,26.66666667
6/7/1943,6,27.77777778
6/8/1943,6,27.77777778
6/9/1943,6,26.66666667
6/10/1943,6,27.77777778
6/11/1943,6,30
6/12/1943,6,27.77777778
6/13/1943,6,26.66666667
6/14/1943,6,28.33333333
6/15/1943,6,29.44444444
6/16/1943,6,26.66666667
6/17/1943,6,27.77777778
6/18/1943,6,28.88888889
6/19/1943,6,27.77777778
6/20/1943,6,28.33333333
6/21/1943,6,28.33333333
6/22/1943,6,28.88888889
6/23/1943,6,28.88888889
6/24/1943,6,27.77777778
6/25/1943,6,28.33333333
6/26/1943,6,28.33333333
6/27/1943,6,29.44444444
6/28/1943,6,28.88888889
6/29/1943,6,28.88888889
6/30/1943,6,27.77777778
7/1/1943,7,27.77777778
7/2/1943,7,28.33333333
7/3/1943,7,27.77777778
7/4/1943,7,27.22222222
7/5/1943,7,27.77777778
7/6/1943,7,27.77777778
7/7/1943,7,27.77777778
7/8/1943,7,28.88888889
7/9/1943,7,28.88888889
7/10/1943,7,29.44444444
7/11/1943,7,31.11111111
7/12/1943,7,31.11111111
7/13/1943,7,28.88888889
7/14/1943,7,28.88888889
7/15/1943,7,27.77777778
7/16/1943,7,29.44444444
7/17/1943,7,29.44444444
